A,B,P,private_key_a,private_key_b,x_a,y_a,hashpoint_a,x_b,y_b,hashpoint_b,x_secret,y_secret,secret_in_hash,order, time(ms)
2,18,2003,11400714819323301205,11400714819323230888,1583,1089,11400714819323300750,1323,1878,11400714819323284062,296,730,11400714819323217937,2022,6
2,20,2003,11400714819323301840,11400714819323231018,1146,1339,11400714819323274388,1045,1052,11400714819323265635,1309,161,11400714819323281440,2015,8
2,23,2003,11400714819323301205,11400714819323230888,1737,901,11400714819323311429,1923,1500,11400714819323323154,1698,146,11400714819323306093,2023,6
2,25,2003,11400714819323302796,11400714819323231391,159,2002,11400714819323210577,949,380,11400714819323258891,1797,1334,11400714819323315017,2076,7
2,27,2003,11400714819323302153,11400714819323231517,1498,884,11400714819323294373,1177,1234,11400714819323276500,1310,828,11400714819323284742,2083,8
2,29,2003,11400714819323303533,11400714819323231956,1838,111,11400714819323317985,1530,429,11400714819323295802,342,1636,11400714819323222296,2046,7
2,30,2003,11400714819323302796,11400714819323231391,796,1922,11400714819323250754,519,927,11400714819323233266,1478,1787,11400714819323294663,2076,7
2,33,2003,11400714819323301581,11400714819323231083,1726,583,11400714819323308341,727,1354,11400714819323245827,1298,1151,11400714819323282250,2010,7
2,35,2003,11400714819323302343,11400714819323231580,198,898,11400714819323212174,984,1973,11400714819323263256,1404,483,11400714819323288363,2085,8
2,36,2003,11400714819323301902,11400714819323231454,162,837,11400714819323209888,476,917,11400714819323229949,1730,623,11400714819323311734,2078,7
2,41,2003,11400714819323302090,11400714819323231454,59,1188,11400714819323203516,863,1285,11400714819323255534,59,1188,11400714819323203516,2080,6
2,42,2003,11400714819323305822,11400714819323231636,1102,781,11400714819323271163,1086,1754,11400714819323270976,270,1779,11400714819323217861,2092,7
2,46,2003,11400714819323302970,11400714819323232146,525,1591,11400714819323233282,908,44,11400714819323257768,559,1860,11400714819323235723,2058,7
2,52,2003,11400714819323301777,11400714819323231083,1998,1060,11400714819323327074,1844,1481,11400714819323320223,711,993,11400714819323244704,2013,6
2,53,2003,11400714819323303589,11400714819323232023,499,472,11400714819323230938,1988,1080,11400714819323327738,399,428,11400714819323224171,2050,8
2,56,2003,11400714819323302861,11400714819323231391,1383,1241,11400714819323287904,1813,1454,11400714819323318237,1586,1359,11400714819323300162,2075,7
2,58,2003,11400714819323301840,11400714819323231018,453,252,11400714819323227911,211,201,11400714819323212033,439,1673,11400714819323228540,2015,7
2,60,2003,11400714819323301777,11400714819323231083,651,406,11400714819323241350,1622,1375,11400714819323305695,227,1706,11400714819323214676,2013,7
2,61,2003,11400714819323301581,11400714819323231083,1198,1895,11400714819323278473,480,583,11400714819323230004,800,192,11400714819323250365,2010,9
2,63,2003,11400714819323300003,11400714819323231659,1949,336,11400714819323322641,1941,195,11400714819323323496,1566,511,11400714819323298053,2040,7
2,68,2003,11400714819323302090,11400714819323231454,227,1766,11400714819323214608,1494,847,11400714819323294607,227,1766,11400714819323214608,2080,7
2,69,2003,11400714819323303229,11400714819323232211,822,90,11400714819323251082,16,757,11400714819323200286,1605,672,11400714819323303875,2063,7
2,71,2003,11400714819323301902,11400714819323231454,1449,403,11400714819323292923,1352,1804,11400714819323286331,350,204,11400714819323221478,2078,8
2,72,2003,11400714819323302640,11400714819323231313,503,241,11400714819323230900,1941,1126,11400714819323322421,607,170,11400714819323238217,2070,6
2,74,2003,11400714819323300883,11400714819323231018,1715,1721,11400714819323312009,1494,201,11400714819323295237,497,1625,11400714819323231963,2016,7
2,76,2003,11400714819323301338,11400714819323230888,386,540,11400714819323223699,139,257,11400714819323207539,1435,464,11400714819323290512,2025,56
2,77,2003,11400714819323303103,11400714819323232146,1160,994,11400714819323275153,1363,379,11400714819323287287,1292,1565,11400714819323282297,2060,7
2,81,2003,11400714819323303411,11400714819323232211,1178,1117,11400714819323276418,1565,1313,11400714819323301856,1178,1117,11400714819323276418,2064,6
2,82,2003,11400714819323301777,11400714819323231083,1456,1899,11400714819323295068,1723,1414,11400714819323311282,1999,1314,11400714819323326757,2013,7
2,84,2003,11400714819323300440,11400714819323230824,1341,966,11400714819323286871,736,1447,11400714819323246740,761,782,11400714819323247832,2028,6
2,86,2003,11400714819323300946,11400714819323231018,255,1872,11400714819323216795,151,1835,11400714819323210162,516,1820,11400714819323233974,2017,7
2,89,2003,11400714819323300335,11400714819323231893,1558,1671,11400714819323301815,1750,1843,11400714819323313323,1558,1671,11400714819323301815,2044,7
2,91,2003,11400714819323301711,11400714819323231083,1102,451,11400714819323270693,1339,1135,11400714819323286953,1736,118,11400714819323311861,2012,6
2,92,2003,11400714819323300883,11400714819323231018,1424,1193,11400714819323290546,1552,760,11400714819323298433,1755,1545,11400714819323313231,2016,6
2,94,2003,11400714819323300569,11400714819323230761,2001,1893,11400714819323330175,818,153,11400714819323251400,1395,1468,11400714819323288222,2030,7
3,1,2003,11400714819323301777,11400714819323231083,1694,1499,11400714819323309449,791,1975,11400714819323251014,1574,1420,11400714819323300492,2013,8
3,2,2003,11400714819323302707,11400714819323231313,636,1118,11400714819323241070,1959,1516,11400714819323324941,1456,1818,11400714819323295019,2073,6
3,3,2003,11400714819323300699,11400714819323230761,1717,1980,11400714819323311115,1619,994,11400714819323301912,1686,1491,11400714819323309979,2032,7
3,6,2003,11400714819323303468,11400714819323231956,892,205,11400714819323256765,228,1377,11400714819323214411,572,1496,11400714819323237184,2048,8
3,7,2003,11400714819323303103,11400714819323232146,1257,729,11400714819323281025,1999,1141,11400714819323326962,261,490,11400714819323215493,2060,7
3,8,2003,11400714819323301205,11400714819323230888,1393,1768,11400714819323291112,1062,1432,11400714819323267088,411,99,11400714819323224581,2023,9
3,9,2003,11400714819323300569,11400714819323230761,1472,397,11400714819323292370,991,1640,11400714819323263211,1544,1337,11400714819323298520,2030,12
3,10,2003,11400714819323299943,11400714819323231722,1207,1431,11400714819323278382,818,1662,11400714819323251949,1287,1466,11400714819323281879,2037,9
3,11,2003,11400714819323302343,11400714819323231580,1926,1141,11400714819323323501,1615,1316,11400714819323302083,891,759,11400714819323256273,2085,8
3,12,2003,11400714819323303035,11400714819323232086,1183,1031,11400714819323276700,1595,1028,11400714819323303516,698,751,11400714819323243656,2057,7
3,16,2003,11400714819323302707,11400714819323231313,1697,1871,11400714819323309037,1863,1687,11400714819323318650,1819,188,11400714819323314764,2073,7
3,17,2003,11400714819323300946,11400714819323231018,249,219,11400714819323214743,218,86,11400714819323212795,1424,1745,11400714819323293146,2017,7
3,19,2003,11400714819323301840,11400714819323231018,1966,1732,11400714819323328490,1779,1412,11400714819323315942,1995,879,11400714819323327485,2015,6
3,20,2003,11400714819323302796,11400714819323231391,375,284,11400714819323222585,335,64,11400714819323220263,80,544,11400714819323204121,2076,8
3,22,2003,11400714819323300883,11400714819323231018,1505,837,11400714819323297011,1243,35,11400714819323277557,16,753,11400714819323200282,2016,8
3,25,2003,11400714819323302278,11400714819323231580,303,97,11400714819323218350,874,1394,11400714819323256715,661,1333,11400714819323241914,2086,8
3,34,2003,11400714819323302707,11400714819323231313,1353,543,11400714819323286671,1386,485,11400714819323288766,1058,1419,11400714819323268874,2073,7
3,35,2003,11400714819323302577,11400714819323231313,630,1433,11400714819323239869,233,462,11400714819323214004,1327,1113,11400714819323283542,2071,7
3,36,2003,11400714819323305476,11400714819323231580,1454,182,11400714819323292696,837,225,11400714819323251778,340,719,11400714819323221357,2088,10
3,37,2003,11400714819323301777,11400714819323231018,1660,1517,11400714819323307229,1935,390,11400714819323323569,1784,863,11400714819323312586,2014,6
3,39,2003,11400714819323303229,11400714819323232211,1938,659,11400714819323323038,941,1440,11400714819323260493,448,730,11400714819323227807,2063,7
3,40,2003,11400714819323299878,11400714819323231659,930,1524,11400714819323259091,26,1814,11400714819323201963,266,232,11400714819323215541,2038,7
3,42,2003,11400714819323302216,11400714819323231517,1168,1013,11400714819323273662,316,1149,11400714819323219677,1491,184,11400714819323295442,2082,9
3,43,2003,11400714819323300003,11400714819323231659,1739,681,11400714819323311611,300,1000,11400714819323218532,205,1920,11400714819323213765,2040,10
3,44,2003,11400714819323302216,11400714819323231517,1573,725,11400714819323301782,317,1135,11400714819323220270,716,326,11400714819323245506,2082,9
3,46,2003,11400714819323300837,11400714819323231722,12,1549,11400714819323200809,436,1561,11400714819323227695,1178,980,11400714819323274005,2034,7
3,48,2003,11400714819323302448,11400714819323231248,1531,9,11400714819323296167,1131,1849,11400714819323272003,1986,772,11400714819323328075,2068,8
3,50,2003,11400714819323303411,11400714819323232211,886,1072,11400714819323256276,625,736,11400714819323238816,886,1072,11400714819323256276,2064,6
3,59,2003,11400714819323300129,11400714819323231893,1736,1073,11400714819323311408,273,1715,11400714819323217501,1683,1229,11400714819323306453,2043,9
3,60,2003,11400714819323300129,11400714819323231893,1211,1447,11400714819323278609,520,732,11400714819323233147,756,1045,11400714819323248403,2043,10
3,62,2003,11400714819323300335,11400714819323231893,188,710,11400714819323211446,630,21,11400714819323238449,188,710,11400714819323211446,2044,7
3,68,2003,11400714819323303468,11400714819323231956,284,694,11400714819323217678,727,1732,11400714819323247513,207,1452,11400714819323213179,2048,10
3,71,2003,11400714819323300270,11400714819323231893,1321,470,11400714819323284572,1127,70,11400714819323269971,1292,1559,11400714819323282275,2045,6
3,72,2003,11400714819323301646,11400714819323231083,584,1770,11400714819323238361,1630,555,11400714819323302153,1855,1112,11400714819323320003,2011,8
3,75,2003,11400714819323303782,11400714819323232023,41,1865,11400714819323202945,1491,1941,11400714819323296781,917,1541,11400714819323259818,2052,9
3,81,2003,11400714819323298294,11400714819323231204,1059,1488,11400714819323269006,1689,1544,11400714819323309210,710,198,11400714819323243978,2005,9
3,82,2003,11400714819323300699,11400714819323230761,252,566,11400714819323215222,825,651,11400714819323252375,390,1721,11400714819323225385,2033,8
3,83,2003,11400714819323300946,11400714819323231018,1293,217,11400714819323282556,1845,1888,11400714819323319735,1901,344,11400714819323321829,2017,8
3,84,2003,11400714819323302153,11400714819323231517,1398,1151,11400714819323288071,889,944,11400714819323256218,1226,1068,11400714819323279161,2084,8
3,89,2003,11400714819323305476,11400714819323231580,369,1450,11400714819323223850,339,1539,11400714819323221631,168,1410,11400714819323210601,2088,10
3,90,2003,11400714819323300634,11400714819323230761,1337,1451,11400714819323286647,601,994,11400714819323237524,1133,882,11400714819323273103,2031,11
3,93,2003,11400714819323303782,11400714819323232023,1400,1911,11400714819323291538,706,921,11400714819323245084,1936,1809,11400714819323326106,2052,8
3,94,2003,11400714819323300192,11400714819323231659,42,450,11400714819323201611,938,817,11400714819323259162,1974,223,11400714819323325399,2041,9
3,97,2003,11400714819323303589,11400714819323232023,878,198,11400714819323255384,1765,1044,11400714819323313607,1820,802,11400714819323314402,2050,7
3,98,2003,11400714819323301492,11400714819323231141,1412,1426,11400714819323289996,1522,509,11400714819323296252,644,482,11400714819323239708,2007,10
4,2,2003,11400714819323300772,11400714819323231722,1513,1177,11400714819323296129,915,1366,11400714819323258012,1529,728,11400714819323296594,2035,6
4,3,2003,11400714819323303929,11400714819323232086,1183,262,11400714819323273885,1492,1744,11400714819323296910,1828,1693,11400714819323316831,2054,7
4,4,2003,11400714819323301014,11400714819323230953,630,1908,11400714819323241424,1521,1086,11400714819323296766,1077,740,11400714819323267443,2019,6
4,5,2003,11400714819323301205,11400714819323230888,1501,1678,11400714819323297415,594,1422,11400714819323237605,458,548,11400714819323228385,2022,7
4,6,2003,11400714819323302970,11400714819323232146,1823,45,11400714819323314902,1539,1426,11400714819323299300,47,602,11400714819323202069,2058,7
4,17,2003,11400714819323303782,11400714819323232023,1323,1462,11400714819323283710,1366,512,11400714819323285948,973,531,11400714819323261334,2052,7
4,20,2003,11400714819323300772,11400714819323231722,1291,1140,11400714819323281792,623,1822,11400714819323239905,128,995,11400714819323207832,2035,7
4,21,2003,11400714819323300569,11400714819323230761,741,157,11400714819323245646,858,420,11400714819323254357,962,946,11400714819323261685,2030,7
4,25,2003,11400714819323302707,11400714819323231313,112,1084,11400714819323206685,740,1523,11400714819323246885,349,48,11400714819323220609,2073,9
4,27,2003,11400714819323300699,11400714819323230761,636,1822,11400714819323240622,1848,1395,11400714819323319918,1125,1273,11400714819323272962,2032,7
4,30,2003,11400714819323300440,11400714819323230824,32,1791,11400714819323202364,827,1660,11400714819323253028,1453,45,11400714819323292992,2028,8
4,33,2003,11400714819323300129,11400714819323231893,1692,236,11400714819323306804,793,1843,11400714819323251031,1948,1058,11400714819323326082,2043,8
4,37,2003,11400714819323302153,11400714819323231517,1101,936,11400714819323269213,908,1276,11400714819323258744,1273,386,11400714819323279852,2084,7
4,42,2003,11400714819323303864,11400714819323232086,501,208,11400714819323231063,792,1043,11400714819323250166,1718,472,11400714819323308972,2055,9
4,43,2003,11400714819323303411,11400714819323232211,485,384,11400714819323229867,101,1577,11400714819323206642,1414,299,11400714819323291047,2065,7
4,45,2003,11400714819323301079,11400714819323230953,428,1208,11400714819323227540,1793,1706,11400714819323315134,78,1868,11400714819323205306,2020,8
4,46,2003,11400714819323301079,11400714819323230953,576,1524,11400714819323236569,1786,1220,11400714819323316205,968,1573,11400714819323262692,2020,7
4,48,2003,11400714819323302090,11400714819323231454,681,640,11400714819323243478,1778,1160,11400714819323312171,1988,1557,11400714819323327199,2079,9
4,50,2003,11400714819323300440,11400714819323230824,1991,1063,11400714819323327530,601,851,11400714819323237479,1946,1752,11400714819323325641,2028,8
4,58,2003,11400714819323302216,11400714819323231517,1764,469,11400714819323313735,128,1458,11400714819323208039,530,1258,11400714819323233297,2082,7
4,60,2003,11400714819323300003,11400714819323231659,248,171,11400714819323214342,669,1787,11400714819323242602,394,538,11400714819323224219,2040,8
4,61,2003,11400714819323300335,11400714819323231893,1232,248,11400714819323278993,971,1945,11400714819323262123,1232,248,11400714819323278993,2044,7
4,66,2003,11400714819323305476,11400714819323231580,1051,523,11400714819323265533,255,456,11400714819323215139,644,1384,11400714819323240858,2088,8
4,68,2003,11400714819323303468,11400714819323231956,825,1521,11400714819323253293,679,718,11400714819323243499,741,1048,11400714819323246787,2048,6
4,69,2003,11400714819323302970,11400714819323232146,1340,494,11400714819323284334,1014,1286,11400714819323264110,1810,105,11400714819323315664,2058,8
4,72,2003,11400714819323301205,11400714819323230888,1545,667,11400714819323298939,1871,732,11400714819323319243,1574,32,11400714819323298072,2022,8
4,74,2003,11400714819323303589,11400714819323232023,941,1300,11400714819323260665,767,873,11400714819323247874,296,1664,11400714819323219447,2050,119
4,75,2003,11400714819323300335,11400714819323231893,849,549,11400714819323252767,1460,572,11400714819323291914,849,549,11400714819323252767,2044,7
4,81,2003,11400714819323305822,11400714819323231636,320,1298,11400714819323220023,937,1506,11400714819323260552,1522,1989,11400714819323298852,2092,7
4,86,2003,11400714819323302090,11400714819323231454,340,311,11400714819323220981,1337,590,11400714819323283656,1516,1038,11400714819323296114,2079,8
4,89,2003,11400714819323301205,11400714819323230888,555,142,11400714819323233734,876,478,11400714819323255458,1054,942,11400714819323268180,2023,6
4,91,2003,11400714819323301492,11400714819323231141,1726,736,11400714819323311770,428,462,11400714819323226338,684,365,11400714819323243393,2007,6
4,95,2003,11400714819323300634,11400714819323230761,782,1801,11400714819323249775,1082,584,11400714819323267537,1908,456,11400714819323321294,2031,8
4,96,2003,11400714819323298294,11400714819323231204,1663,1178,11400714819323307121,195,1157,11400714819323212105,1870,1911,11400714819323322257,2004,9
5,1,2003,11400714819323302796,11400714819323231391,1411,285,11400714819323288273,1821,204,11400714819323314933,1132,1271,11400714819323271499,2076,7
5,7,2003,11400714819323301581,11400714819323231083,66,1358,11400714819323204017,612,234,11400714819323237628,1234,822,11400714819323277357,2010,7
5,15,2003,11400714819323300946,11400714819323231018,587,689,11400714819323236435,1017,1272,11400714819323265970,1920,1625,11400714819323323342,2017,6
5,16,2003,11400714819323300440,11400714819323230824,1972,644,11400714819323324978,0,1999,11400714819323200484,50,1208,11400714819323202923,2028,8
5,17,2003,11400714819323301646,11400714819323231083,1227,458,11400714819323278618,205,687,11400714819323212538,1644,1946,11400714819323307558,2011,7
5,20,2003,11400714819323300440,11400714819323230824,104,352,11400714819323205607,1878,898,11400714819323318714,1561,797,11400714819323298017,2028,8
5,21,2003,11400714819323303864,11400714819323232086,272,321,11400714819323216010,724,752,11400714819323246190,1377,1803,11400714819323288025,2056,12
5,22,2003,11400714819323300003,11400714819323231659,1579,1222,11400714819323300622,1477,1320,11400714819323295275,1761,1432,11400714819323313476,2040,13
5,25,2003,11400714819323302861,11400714819323231391,253,1563,11400714819323216210,608,12,11400714819323238105,1882,1295,11400714819323321888,2074,7
5,28,2003,11400714819323298294,11400714819323231204,1008,843,11400714819323264940,817,573,11400714819323250799,1430,191,11400714819323291183,2004,7
5,29,2003,11400714819323302707,11400714819323231313,1693,1779,11400714819323309426,1180,1382,11400714819323276606,1191,112,11400714819323274185,2073,6
5,31,2003,11400714819323301275,11400714819323230888,1194,808,11400714819323276877,1353,1880,11400714819323286454,1194,808,11400714819323276877,2024,6
5,32,2003,11400714819323301205,11400714819323230888,222,1059,11400714819323213617,875,1445,11400714819323256383,76,511,11400714819323203947,2023,6
5,34,2003,11400714819323303929,11400714819323232086,472,1622,11400714819323230521,756,272,11400714819323246614,1520,1489,11400714819323296402,2054,8
5,36,2003,11400714819323303864,11400714819323232086,1817,1784,11400714819323317258,27,1383,11400714819323201625,1015,1563,11400714819323265818,2056,7
5,37,2003,11400714819323301777,11400714819323231083,867,1368,11400714819323254886,109,494,11400714819323205939,756,566,11400714819323248380,2013,9
5,43,2003,11400714819323301492,11400714819323231141,488,646,11400714819323230461,436,1411,11400714819323227825,1480,1155,11400714819323294146,2007,6
5,48,2003,11400714819323303782,11400714819323232023,1003,192,11400714819323263844,622,175,11400714819323239089,1223,935,11400714819323278954,2052,7
5,52,2003,11400714819323303411,11400714819323232211,1831,528,11400714819323317897,88,675,11400714819323204758,1831,528,11400714819323317897,2064,6
5,60,2003,11400714819323302448,11400714819323231248,1733,1165,11400714819323311446,1766,1392,11400714819323312728,685,312,11400714819323243413,2068,7
5,61,2003,11400714819323301646,11400714819323231083,855,470,11400714819323254743,704,923,11400714819323245216,343,768,11400714819323221117,2011,7
5,62,2003,11400714819323302343,11400714819323231580,720,1573,11400714819323245630,132,1946,11400714819323208788,1445,902,11400714819323293665,2085,7
5,65,2003,11400714819323300837,11400714819323231722,1441,1661,11400714819323292059,364,926,11400714819323222626,418,1714,11400714819323226637,2034,7
5,67,2003,11400714819323303864,11400714819323232086,16,476,11400714819323199973,388,887,11400714819323224425,1018,1267,11400714819323265916,2055,6
5,76,2003,11400714819323300377,11400714819323230824,1733,433,11400714819323311730,126,237,11400714819323206879,1137,992,11400714819323271456,2026,7
5,79,2003,11400714819323301777,11400714819323231018,757,347,11400714819323247000,1298,1806,11400714819323284981,403,1486,11400714819323225748,2014,7
5,83,2003,11400714819323302640,11400714819323231313,776,1737,11400714819323250344,1496,1550,11400714819323296833,1923,1531,11400714819323323187,2070,8
5,86,2003,11400714819323301338,11400714819323230888,866,363,11400714819323254202,1556,1346,11400714819323298248,743,1703,11400714819323248594,2025,6
5,87,2003,11400714819323300440,11400714819323230824,1664,112,11400714819323304101,1777,1561,11400714819323315931,760,448,11400714819323248235,2028,8
5,93,2003,11400714819323300270,11400714819323231893,1692,1601,11400714819323309153,1174,1620,11400714819323276696,1740,1828,11400714819323310368,2045,7
5,94,2003,11400714819323302770,11400714819323231313,1684,1601,11400714819323309679,1489,1818,11400714819323297074,1931,1919,11400714819323326397,2072,8
5,95,2003,11400714819323303103,11400714819323232146,870,540,11400714819323255788,1727,659,11400714819323311784,346,39,11400714819323220552,2061,9
5,99,2003,11400714819323301014,11400714819323230953,697,1554,11400714819323245484,1839,1328,11400714819323316735,1547,1271,11400714819323298629,2018,7
6,1,2003,11400714819323301205,11400714819323230888,944,110,11400714819323259615,608,336,11400714819323238301,182,1500,11400714819323211560,2023,6
6,2,2003,11400714819323299943,11400714819323231722,1784,399,11400714819323313050,1219,1934,11400714819323277648,1837,665,11400714819323317396,2036,7
6,3,2003,11400714819323300772,11400714819323231722,153,1083,11400714819323209263,140,1129,11400714819323208493,1803,900,11400714819323314960,2035,6
6,7,2003,11400714819323301275,11400714819323230888,81,889,11400714819323204531,485,1854,11400714819323231465,81,889,11400714819323204531,2024,6
6,10,2003,11400714819323301205,11400714819323230888,1973,786,11400714819323324897,1519,732,11400714819323296195,350,1334,11400714819323222140,2023,7
6,13,2003,11400714819323299943,11400714819323231722,915,1777,11400714819323259705,1484,709,11400714819323295361,3,962,11400714819323199636,2037,8
6,14,2003,11400714819323303411,11400714819323232211,313,1262,11400714819323219624,1862,1311,11400714819323319235,313,1262,11400714819323219624,2064,8
6,17,2003,11400714819323303346,11400714819323231248,771,1956,11400714819323250234,536,57,11400714819323232460,1590,1523,11400714819323303715,2066,7
6,23,2003,11400714819323301581,11400714819323231083,1821,1530,11400714819323317259,109,1574,11400714819323207163,370,153,11400714819323222264,2010,9
6,24,2003,11400714819323300699,11400714819323230761,1350,297,11400714819323286857,1528,886,11400714819323296497,233,436,11400714819323213994,2033,6
6,25,2003,11400714819323299878,11400714819323231659,1236,1809,11400714819323280783,969,959,11400714819323261135,1402,1037,11400714819323291002,2038,7
6,26,2003,11400714819323300003,11400714819323231659,228,904,11400714819323213874,705,1041,11400714819323245527,325,1566,11400714819323220609,2040,7
6,28,2003,11400714819323305476,11400714819323231636,259,1657,11400714819323216525,1438,1014,11400714819323293036,1235,805,11400714819323277821,2089,7
6,29,2003,11400714819323300504,11400714819323230824,1319,445,11400714819323284988,398,740,11400714819323224914,1631,480,11400714819323302163,2029,9
6,30,2003,11400714819323301777,11400714819323231083,905,935,11400714819323257175,1769,1309,11400714819323313093,970,161,11400714819323261922,2013,7
6,35,2003,11400714819323302970,11400714819323232146,948,1382,11400714819323260124,1345,242,11400714819323284438,1835,912,11400714819323316996,2058,7
6,40,2003,11400714819323302640,11400714819323231313,717,1569,11400714819323245796,1000,304,11400714819323263959,211,1213,11400714819323213077,2070,7
